indiv	AGE	SEX	PC1
1500220	64	0	35.7138
2765729	50	1	16.2962
4331194	68	1	104.161
2609763	54	0	-12.0246
2382134	56	1	35.9071
1853021	57	1	20.2555
4614387	52	1	-12.5944
5017094	50	0	90.8873
5728841	56	0	-7.23892
3013776	65	1	8.07553
2110016	57	0	-2.74013
2857050	60	1	-11.982
3403635	46	0	308.487
1961585	41	1	67.6594
2489877	68	1	36.7317
1241298	43	1	146.98
1446805	68	1	-14.0944
3090023	48	0	100.034
3827287	54	1	157.737
2261175	42	1	-14.5799
3144752	43	0	410.541
3046152	57	0	369.389
5897757	61	0	-13.1229
1374358	46	1	84.5552
2221931	67	1	19.0547
4521087	43	0	80.017
2011287	67	0	-13.5014
2294718	67	1	21.1483
4688353	57	1	34.6089
5253362	51	1	409.302
3240750	61	0	38.2556
5563722	67	0	24.5614
2553785	55	0	65.9609
2979753	42	0	-10.4185
4192499	53	1	39.0698
2765928	65	1	-14.8407
2851174	61	0	20.8772
3972217	64	0	-7.90579
1415727	49	0	147.755
5436614	56	1	79.1752
2492114	68	1	382.254
2705380	53	1	19.6151
3004218	48	0	23.5129
4747362	44	1	-8.43321
2091411	46	1	157.508
2201367	48	0	-9.324
3937980	63	1	401.298
3161576	53	1	61.44
2604387	45	0	57.4729
4959321	59	1	331.119
1382942	43	1	84.8285
5750650	52	0	-3.23278
4077739	52	1	-10.2581
4067941	65	0	-11.6831
2677605	55	0	159.164
3297867	56	0	-11.9924
2493043	64	0	-11.9292
5052447	54	0	-6.0326
3554644	53	1	157.972
4267802	68	1	4.42401
5845285	43	1	-1.66134
1717150	69	0	5.64375
5387757	58	0	20.584
1890196	44	1	157.887
2440755	45	1	19.9173
4940527	54	0	37.758
5412198	69	0	27.6014
1236704	52	0	-12.8387
4294569	44	1	35.1538
2409504	64	1	-14.6171
5129942	69	0	-12.2649
1316450	50	0	71.4862
5383411	41	0	157.051
3475321	49	0	377.198
2641010	56	1	-13.2275
1605583	62	0	-14.9102
3015892	48	0	119.412
2154194	65	0	-8.79457
3229025	45	1	91.7702
4574237	46	1	-14.7127
4069276	54	0	-11.4018
1454266	61	0	104.957
2367220	46	1	104.389
5195970	49	0	368.63
1222812	46	1	18.9552
2852418	58	0	73.0927
3817808	62	1	303.168
4735351	57	1	85.4498
2985405	62	0	67.3291
4337468	64	1	70.3946
